stock_symbol,date,description
AAPL,1976,Apple Computer Company is founded, and Apple I is born
AAPL,1977,Apple II is released
AAPL,1980,Apple III is released
AAPL,1980,Company goes public for $22 per share
AAPL,1984,The Macintosh is introduced
AAPL,1985,Steve Jobs leaves the company
AAPL,1989,The Macintosh Portable is released
AAPL,1990,3 new Macintosh models launched
AAPL,1991,The PowerBook is introduced
AAPL,1997,Steve Jobs regains position as CEO
AAPL,1997,Apple Online Store launches
AAPL,1998,The iMac is introduced
AAPL,2001,First retail stores open
AAPL,2001,The iPod is launched
AAPL,2003,iTunes Store launches
AAPL,2007,iPhone and Apple TV launched, Apple Computers Inc. renamed to Apple Inc.
AAPL,2008,App Store launches
AAPL,2010,The iPad is introduced
AAPL,2010,The iPhone 4 is released
AAPL,2010,Apple shares reach an all-time high
AAPL,2011,Jobs resigns due to health problems
AAPL,2012,The iPhone 5 is launched
AAPL,2015,Apple Watch is released
AAPL,2016,AirPods are launched
AAPL,2018,Apple's value reaches $1 trillion
AAPL,2023,Apple Vision Pro is announced
ADBE,1982,Adobe is founded
ADBE,1983,Apple acquires 15% of Adobe
ADBE,1984,Adobe PostScript released as first product
ADBE,1985,Sales reach $1.9 million
ADBE,1986,Adobe enters the NASDAQ Composite index
ADBE,1987,Adobe Illustrator is introduced
ADBE,1990,Adobe Photoshop is released
ADBE,1992,CEO Charles Geschke is kidnapped
ADBE,1993,Adobe Premiere is released
ADBE,1996,Adobe releases first consumer title (PhotoDeluxe)
ADBE,1997,80% of revenues come from application sales
ADBE,1998,PDF becomes the new image format for Macintosh OS
ADBE,1999,Record revenues of $260.9 million for Q3
ADBE,2000,Named one of the 100 best companies to work for in America
ADBE,2003,Adobe Audition is released
ADBE,2005,Adobe acquires Macromedia
ADBE,2008,Creative Suite 4 is released
ADBE,2009,Adobe acquires Omniture
ADBE,2011,Adobe releases first version of Creative Cloud
ADBE,2012,Last version of Creative Suite (CS6) is released
ADBE,2013,Sales exceed $4.30 billion
ADBE,2018,Adobe acquires Magento Commerce
ADBE,2019,Adobe acquires Allegorithmic
ADBE,2020,Adobe updates its visual identity
AMZN,1994,Amazon founded
AMZN,1997,Amazon IPOs at $18.00/share
AMZN,1998,Acquires IMDB and expands beyond books
AMZN,1999,zShops launches
AMZN,2002,Lawsuit against Barnes & Noble
AMZN,2003,A9.com is launched
AMZN,2005,Amazon Prime and Amazon Mechanical Turk are launched
AMZN,2006,Amazon S3 and Elastic Compute Cloud are launched
AMZN,2007,Amazon Fresh, Music, and Kindle are launched
AMZN,2008,Acquires Audible
AMZN,2009,Acquires Zappos
AMZN,2010,Kindle e-books outsell hardcover books
AMZN,2011,Amazon Instant Video and Appstore launched
AMZN,2013,Amazon launches in India
AMZN,2014,Kindle Fire launched, acquires Twitch
AMZN,2015,First physical store opens
AMZN,2016,Amazon Prime Air is launched
AMZN,2017,Acquires Whole Foods, searches for second headquarters
AMZN,2018,Acquires PillPack, reaches $1 trillion market cap, raises minimum wage to $15/h
AMZN,2019,NY HQ plans scrapped, Amazon Care is launched
AMZN,2021,Jeff Bezos steps down as CEO
AMZN,2022,Amazon acquires MGM
AMZN,2023,Becomes #1 delivery company in the US
AMZN,2024,Amazon Prime launches new tier supported by ads
CRM,1999,Founded by Marc Benioff, Parker Harris, Dave Moellenhoff, and Frank Dominguez
CRM,2000,Launched Salesforce.com, introducing CRM as a SaaS model
